Policy Area,Dataset,Variable,Year,Amount,Tract,Tract Number,Neighborhood,GEOID,Location,Row ID,Date
Employment & Income,Income,Median Household Income,2012,47625,"Census Tract 2041.20, Los Angeles County, California",204120,Boyle Heights,1400000US06037204120,"(34.033887, -118.2011895)",Median_Household_Income_2012_1400000US06037204120,01/01/2012
Employment & Income,Income,Median Household Income,2014,113899,"Census Tract 5740, Los Angeles County, California",574000,Long Beach,1400000US06037574000,"(33.8146265, -118.1024205)",Median_Household_Income_2014_1400000US06037574000,01/01/2014
Employment & Income,Income,Median Household Income,2015,27469,"Census Tract 2404.01, Los Angeles County, California",240401,Vermont Vista,1400000US06037240401,"(33.949905, -118.2854905)",Median_Household_Income_2015_1400000US06037240401,01/01/2015
Employment & Income,Income,Median Household Income,2011,78380,"Census Tract 5523.01, Los Angeles County, California",552301,Norwalk,1400000US06037552301,"(33.911254, -118.0643675)",Median_Household_Income_2011_1400000US06037552301,01/01/2011
Employment & Income,Income,Median Household Income,2015,41742,"Census Tract 2220.02, Los Angeles County, California",222002,Exposition Park,1400000US06037222002,"(34.0218995, -118.3135615)",Median_Household_Income_2015_1400000US06037222002,01/01/2015
Employment & Income,Income,Median Household Income,2014,25495,"Census Tract 3107.01, Los Angeles County, California",310701,Burbank,1400000US06037310701,"(34.185479, -118.3132075)",Median_Household_Income_2014_1400000US06037310701,01/01/2014
Employment & Income,Income,Median Household Income,2013,67197,"Census Tract 7020.02, Los Angeles County, California",702002,Santa Monica,1400000US06037702002,"(34.00604515, -118.4847132)",Median_Household_Income_2013_1400000US06037702002,01/01/2013
Employment & Income,Income,Median Household Income,2011,26702,"Census Tract 2318, Los Angeles County, California",231800,Historic South-Central,1400000US06037231800,"(34.0074525, -118.27748)",Median_Household_Income_2011_1400000US06037231800,01/01/2011
Employment & Income,Income,Median Household Income,2010,32917,"Census Tract 9007.04, Los Angeles County, California",900704,Lancaster,1400000US06037900704,"(34.6603865, -118.137914)",Median_Household_Income_2010_1400000US06037900704,01/01/2010
Employment & Income,Income,Median Household Income,2010,46500,"Census Tract 5355.02, Los Angeles County, California",535502,South Gate,1400000US06037535502,"(33.9615415, -118.215306)",Median_Household_Income_2010_1400000US06037535502,01/01/2010
Employment & Income,Income,Median Household Income,2011,155700,"Census Tract 2640, Los Angeles County, California",264000,Brentwood,1400000US06037264000,"(34.0560275, -118.4819375)",Median_Household_Income_2011_1400000US06037264000,01/01/2011
Employment & Income,Income,Median Household Income,2015,42411,"Census Tract 4814.01, Los Angeles County, California",481401,San Gabriel,1400000US06037481401,"(34.0840215, -118.103956)",Median_Household_Income_2015_1400000US06037481401,01/01/2015
Employment & Income,Income,Median Household Income,2012,92417,"Census Tract 5003, Los Angeles County, California",500300,North Whittier,1400000US06037500300,"(34.017294, -118.0367865)",Median_Household_Income_2012_1400000US06037500300,01/01/2012
Employment & Income,Income,Median Household Income,2016,40774,"Census Tract 9006.05, Los Angeles County, California",900605,Lancaster,1400000US06037900605,"(34.7043045, -118.085977)",Median_Household_Income_2016_1400000US06037900605,01/01/2016
Employment & Income,Income,Median Household Income,2012,77254,"Census Tract 5720.01, Los Angeles County, California",572001,Long Beach,1400000US06037572001,"(33.822661, -118.1761875)",Median_Household_Income_2012_1400000US06037572001,01/01/2012
Employment & Income,Income,Median Household Income,2010,70313,"Census Tract 3102.01, Los Angeles County, California",310201,Burbank,1400000US06037310201,"(34.1922185, -118.304543)",Median_Household_Income_2010_1400000US06037310201,01/01/2010
Employment & Income,Income,Median Household Income,2010,34773,"Census Tract 9007.03, Los Angeles County, California",900703,Lancaster,1400000US06037900703,"(34.682113, -118.156743)",Median_Household_Income_2010_1400000US06037900703,01/01/2010
Employment & Income,Income,Median Household Income,2015,37377,"Census Tract 2182.20, Los Angeles County, California",218220,Mid-City,1400000US06037218220,"(34.043498, -118.334779)",Median_Household_Income_2015_1400000US06037218220,01/01/2015
Employment & Income,Income,Median Household Income,2013,124576,"Census Tract 1081.03, Los Angeles County, California",108103,Porter Ranch,1400000US06037108103,"(34.2860705, -118.542893)",Median_Household_Income_2013_1400000US06037108103,01/01/2013
Employment & Income,Income,Median Household Income,2016,69504,"Census Tract 2351, Los Angeles County, California",235100,Hyde Park,1400000US06037235100,"(33.9855355, -118.348147)",Median_Household_Income_2016_1400000US06037235100,01/01/2016
Employment & Income,Income,Median Household Income,2015,51122,"Census Tract 1881, Los Angeles County, California",188100,Atwater Village,1400000US06037188100,"(34.137637, -118.270105)",Median_Household_Income_2015_1400000US06037188100,01/01/2015
Employment & Income,Income,Median Household Income,2013,30853,"Census Tract 2132.01, Los Angeles County, California",213201,Harvard Heights,1400000US06037213201,"(34.052656, -118.3044735)",Median_Household_Income_2013_1400000US06037213201,01/01/2013
Employment & Income,Income,Median Household Income,2011,30671,"Census Tract 2412.01, Los Angeles County, California",241201,Vermont Vista,1400000US06037241201,"(33.9402795, -118.2857015)",Median_Household_Income_2011_1400000US06037241201,01/01/2011
Employment & Income,Income,Median Household Income,2015,32220,"Census Tract 4333.04, Los Angeles County, California",433304,El Monte,1400000US06037433304,"(34.07061, -118.020361)",Median_Household_Income_2015_1400000US06037433304,01/01/2015
Employment & Income,Income,Median Household Income,2012,54621,"Census Tract 4337, Los Angeles County, California",433700,South El Monte,1400000US06037433700,"(34.045791, -118.058566)",Median_Household_Income_2012_1400000US06037433700,01/01/2012
Employment & Income,Income,Median Household Income,2016,33991,"Census Tract 9006.02, Los Angeles County, California",900602,Lancaster,1400000US06037900602,"(34.7114195, -118.121494)",Median_Household_Income_2016_1400000US06037900602,01/01/2016
Employment & Income,Income,Median Household Income,2011,25179,"Census Tract 2244.10, Los Angeles County, California",224410,University Park,1400000US06037224410,"(34.0343195, -118.2789565)",Median_Household_Income_2011_1400000US06037224410,01/01/2011
Employment & Income,Income,Median Household Income,2012,56658,"Census Tract 4077.02, Los Angeles County, California",407702,La Puente,1400000US06037407702,"(34.0206605, -117.947234)",Median_Household_Income_2012_1400000US06037407702,01/01/2012
Employment & Income,Income,Median Household Income,2014,184318,"Census Tract 6703.26, Los Angeles County, California",670326,Palos Verdes Estates,1400000US06037670326,"(33.785452, -118.4028895)",Median_Household_Income_2014_1400000US06037670326,01/01/2014
Employment & Income,Income,Median Household Income,2014,61944,"Census Tract 1814, Los Angeles County, California",181400,Eagle Rock,1400000US06037181400,"(34.1364725, -118.210235)",Median_Household_Income_2014_1400000US06037181400,01/01/2014
Employment & Income,Income,Median Household Income,2016,42279,"Census Tract 5409.01, Los Angeles County, California",540901,Willowbrook,1400000US06037540901,"(33.919847, -118.273685)",Median_Household_Income_2016_1400000US06037540901,01/01/2016
Employment & Income,Income,Median Household Income,2016,60625,"Census Tract 1317.02, Los Angeles County, California",131702,Reseda,1400000US06037131702,"(34.2046775, -118.548712)",Median_Household_Income_2016_1400000US06037131702,01/01/2016
Employment & Income,Income,Median Household Income,2010,19161,"Census Tract 2062, Los Angeles County, California",206200,Downtown,1400000US06037206200,"(34.04707, -118.2428045)",Median_Household_Income_2010_1400000US06037206200,01/01/2010
Employment & Income,Income,Median Household Income,2015,42038,"Census Tract 6012.02, Los Angeles County, California",601202,Inglewood,1400000US06037601202,"(33.949072, -118.357022)",Median_Household_Income_2015_1400000US06037601202,01/01/2015
Employment & Income,Income,Median Household Income,2016,28772,"Census Tract 2089.03, Los Angeles County, California",208903,Westlake,1400000US06037208903,"(34.0594445, -118.273509)",Median_Household_Income_2016_1400000US06037208903,01/01/2016
Employment & Income,Income,Median Household Income,2015,20525,"Census Tract 5725, Los Angeles County, California",572500,Long Beach,1400000US06037572500,"(33.8168, -118.2184415)",Median_Household_Income_2015_1400000US06037572500,01/01/2015
Employment & Income,Income,Median Household Income,2011,90563,"Census Tract 1011.22, Los Angeles County, California",101122,Tujunga,1400000US06037101122,"(34.267357, -118.29024)",Median_Household_Income_2011_1400000US06037101122,01/01/2011
Employment & Income,Income,Median Household Income,2012,56133,"Census Tract 4307.24, Los Angeles County, California",430724,Arcadia,1400000US06037430724,"(34.126758, -118.058631)",Median_Household_Income_2012_1400000US06037430724,01/01/2012
Employment & Income,Income,Median Household Income,2010,44900,"Census Tract 3105.01, Los Angeles County, California",310501,Burbank,1400000US06037310501,"(34.195881, -118.335306)",Median_Household_Income_2010_1400000US06037310501,01/01/2010
Employment & Income,Income,Median Household Income,2016,38190,"Census Tract 5343.01, Los Angeles County, California",534301,Cudahy,1400000US06037534301,"(33.959614, -118.1868985)",Median_Household_Income_2016_1400000US06037534301,01/01/2016
Employment & Income,Income,Median Household Income,2011,42604,"Census Tract 5541.04, Los Angeles County, California",554104,Bellflower,1400000US06037554104,"(33.8930155, -118.1193115)",Median_Household_Income_2011_1400000US06037554104,01/01/2011
Employment & Income,Income,Median Household Income,2013,86667,"Census Tract 2161, Los Angeles County, California",216100,Mid-Wilshire,1400000US06037216100,"(34.0568595, -118.3378575)",Median_Household_Income_2013_1400000US06037216100,01/01/2013
Employment & Income,Income,Median Household Income,2015,60625,"Census Tract 6013.01, Los Angeles County, California",601301,Inglewood,1400000US06037601301,"(33.9789525, -118.3639195)",Median_Household_Income_2015_1400000US06037601301,01/01/2015
Employment & Income,Income,Median Household Income,2014,46984,"Census Tract 5427, Los Angeles County, California",542700,Compton,1400000US06037542700,"(33.9013835, -118.2371125)",Median_Household_Income_2014_1400000US06037542700,01/01/2014
Employment & Income,Income,Median Household Income,2015,75477,"Census Tract 6506.03, Los Angeles County, California",650603,Torrance,1400000US06037650603,"(33.8431555, -118.36973)",Median_Household_Income_2015_1400000US06037650603,01/01/2015
Employment & Income,Income,Median Household Income,2014,37586,"Census Tract 2372.02, Los Angeles County, California",237202,Chesterfield Square,1400000US06037237202,"(33.985482, -118.310035)",Median_Household_Income_2014_1400000US06037237202,01/01/2014
Employment & Income,Income,Median Household Income,2016,59474,"Census Tract 4820.02, Los Angeles County, California",482002,Monterey Park,1400000US06037482002,"(34.048942, -118.1497955)",Median_Household_Income_2016_1400000US06037482002,01/01/2016
Employment & Income,Income,Median Household Income,2014,95430,"Census Tract 2739.02, Los Angeles County, California",273902,Venice,1400000US06037273902,"(33.98377459, -118.4640606)",Median_Household_Income_2014_1400000US06037273902,01/01/2014
Employment & Income,Income,Median Household Income,2012,61563,"Census Tract 5321.02, Los Angeles County, California",532102,Montebello,1400000US06037532102,"(33.997581, -118.111544)",Median_Household_Income_2012_1400000US06037532102,01/01/2012
Employment & Income,Income,Median Household Income,2013,54250,"Census Tract 4337, Los Angeles County, California",433700,South El Monte,1400000US06037433700,"(34.045791, -118.058566)",Median_Household_Income_2013_1400000US06037433700,01/01/2013
Employment & Income,Income,Median Household Income,2015,54231,"Census Tract 4021.01, Los Angeles County, California",402101,Pomona,1400000US06037402101,"(34.086072, -117.7347815)",Median_Household_Income_2015_1400000US06037402101,01/01/2015
Employment & Income,Income,Median Household Income,2015,100653,"Census Tract 3003.01, Los Angeles County, California",300301,Glendale,1400000US06037300301,"(34.248378, -118.2527395)",Median_Household_Income_2015_1400000US06037300301,01/01/2015
Employment & Income,Income,Median Household Income,2016,58590,"Census Tract 4051.01, Los Angeles County, California",405101,Baldwin Park,1400000US06037405101,"(34.0958995, -117.961403)",Median_Household_Income_2016_1400000US06037405101,01/01/2016
Employment & Income,Income,Median Household Income,2015,73269,"Census Tract 2716, Los Angeles County, California",271600,Mar Vista,1400000US06037271600,"(34.0213795, -118.4310805)",Median_Household_Income_2015_1400000US06037271600,01/01/2015
Employment & Income,Income,Median Household Income,2011,70000,"Census Tract 5439.03, Los Angeles County, California",543903,Carson,1400000US06037543903,"(33.8318165, -118.2525685)",Median_Household_Income_2011_1400000US06037543903,01/01/2011
Employment & Income,Income,Median Household Income,2014,61277,"Census Tract 4086.31, Los Angeles County, California",408631,Hacienda Heights,1400000US06037408631,"(34.0007955, -117.9583205)",Median_Household_Income_2014_1400000US06037408631,01/01/2014
Employment & Income,Income,Median Household Income,2016,45682,"Census Tract 6024.04, Los Angeles County, California",602404,Hawthorne,1400000US06037602404,"(33.905511, -118.3481055)",Median_Household_Income_2016_1400000US06037602404,01/01/2016
Employment & Income,Income,Median Household Income,2014,95567,"Census Tract 6502, Los Angeles County, California",650200,Torrance,1400000US06037650200,"(33.867113, -118.32676)",Median_Household_Income_2014_1400000US06037650200,01/01/2014
Employment & Income,Income,Median Household Income,2014,81595,"Census Tract 9201.12, Los Angeles County, California",920112,Santa Clarita,1400000US06037920112,"(34.435109, -118.538718)",Median_Household_Income_2014_1400000US06037920112,01/01/2014
Employment & Income,Income,Median Household Income,2013,139537,"Census Tract 1344.24, Los Angeles County, California",134424,West Hills,1400000US06037134424,"(34.21294, -118.6550685)",Median_Household_Income_2013_1400000US06037134424,01/01/2013
Employment & Income,Income,Median Household Income,2015,30052,"Census Tract 2422, Los Angeles County, California",242200,Watts,1400000US06037242200,"(33.948204, -118.238625)",Median_Household_Income_2015_1400000US06037242200,01/01/2015
Employment & Income,Income,Median Household Income,2014,78949,"Census Tract 7003, Los Angeles County, California",700300,West Hollywood,1400000US06037700300,"(34.091624, -118.3731165)",Median_Household_Income_2014_1400000US06037700300,01/01/2014
Employment & Income,Income,Median Household Income,2010,37069,"Census Tract 5355.01, Los Angeles County, California",535501,South Gate,1400000US06037535501,"(33.9614045, -118.2221395)",Median_Household_Income_2010_1400000US06037535501,01/01/2010
Employment & Income,Income,Median Household Income,2014,61758,"Census Tract 4081.37, Los Angeles County, California",408137,South San Jose Hills,1400000US06037408137,"(34.009108, -117.883356)",Median_Household_Income_2014_1400000US06037408137,01/01/2014
Employment & Income,Income,Median Household Income,2010,117546,"Census Tract 4626, Los Angeles County, California",462600,Pasadena,1400000US06037462600,"(34.1611715, -118.112295)",Median_Household_Income_2010_1400000US06037462600,01/01/2010
Employment & Income,Income,Median Household Income,2016,108456,"Census Tract 9203.14, Los Angeles County, California",920314,Santa Clarita,1400000US06037920314,"(34.4044665, -118.520954)",Median_Household_Income_2016_1400000US06037920314,01/01/2016
Employment & Income,Income,Median Household Income,2013,35950,"Census Tract 5326.03, Los Angeles County, California",532603,Huntington Park,1400000US06037532603,"(33.98445, -118.234062)",Median_Household_Income_2013_1400000US06037532603,01/01/2013
Employment & Income,Income,Median Household Income,2010,57347,"Census Tract 2151.02, Los Angeles County, California",215102,Mid-Wilshire,1400000US06037215102,"(34.0648495, -118.3456205)",Median_Household_Income_2010_1400000US06037215102,01/01/2010
Employment & Income,Income,Median Household Income,2011,29193,"Census Tract 5733, Los Angeles County, California",573300,Long Beach,1400000US06037573300,"(33.7948965, -118.1741585)",Median_Household_Income_2011_1400000US06037573300,01/01/2011
Employment & Income,Income,Median Household Income,2014,33726,"Census Tract 5416.06, Los Angeles County, California",541606,Compton,1400000US06037541606,"(33.899695, -118.218413)",Median_Household_Income_2014_1400000US06037541606,01/01/2014
Employment & Income,Income,Median Household Income,2014,29035,"Census Tract 2113.20, Los Angeles County, California",211320,Koreatown,1400000US06037211320,"(34.0708825, -118.294158)",Median_Household_Income_2014_1400000US06037211320,01/01/2014
Employment & Income,Income,Median Household Income,2014,40399,"Census Tract 5765.03, Los Angeles County, California",576503,Long Beach,1400000US06037576503,"(33.7716165, -118.1698205)",Median_Household_Income_2014_1400000US06037576503,01/01/2014
Employment & Income,Income,Median Household Income,2013,56967,"Census Tract 4070.01, Los Angeles County, California",407001,West Puente Valley,1400000US06037407001,"(34.060681, -117.978103)",Median_Household_Income_2013_1400000US06037407001,01/01/2013
Employment & Income,Income,Median Household Income,2011,60724,"Census Tract 4628, Los Angeles County, California",462800,Pasadena,1400000US06037462800,"(34.152173, -118.103306)",Median_Household_Income_2011_1400000US06037462800,01/01/2011
Employment & Income,Income,Median Household Income,2016,100461,"Census Tract 2627.04, Los Angeles County, California",262704,Pacific Palisades,1400000US06037262704,"(34.0424942, -118.5425851)",Median_Household_Income_2016_1400000US06037262704,01/01/2016
Employment & Income,Income,Median Household Income,2014,61719,"Census Tract 5033.02, Los Angeles County, California",503302,South Whittier,1400000US06037503302,"(33.9410585, -118.021431)",Median_Household_Income_2014_1400000US06037503302,01/01/2014
Employment & Income,Income,Median Household Income,2012,54631,"Census Tract 5033.02, Los Angeles County, California",503302,South Whittier,1400000US06037503302,"(33.9410585, -118.021431)",Median_Household_Income_2012_1400000US06037503302,01/01/2012
Employment & Income,Income,Median Household Income,2013,42313,"Census Tract 1956, Los Angeles County, California",195600,Echo Park,1400000US06037195600,"(34.0810905, -118.266765)",Median_Household_Income_2013_1400000US06037195600,01/01/2013
Employment & Income,Income,Median Household Income,2016,184000,"Census Tract 4607, Los Angeles County, California",460700,La Canada Flintridge,1400000US06037460700,"(34.1946605, -118.196153)",Median_Household_Income_2016_1400000US06037460700,01/01/2016
Employment & Income,Income,Median Household Income,2016,114154,"Census Tract 1810, Los Angeles County, California",181000,Eagle Rock,1400000US06037181000,"(34.1439045, -118.204552)",Median_Household_Income_2016_1400000US06037181000,01/01/2016
Employment & Income,Income,Median Household Income,2010,64044,"Census Tract 4318, Los Angeles County, California",431800,East San Gabriel,1400000US06037431800,"(34.1196565, -118.060933)",Median_Household_Income_2010_1400000US06037431800,01/01/2010
Employment & Income,Income,Median Household Income,2014,110476,"Census Tract 4630, Los Angeles County, California",463000,Pasadena,1400000US06037463000,"(34.154951, -118.075158)",Median_Household_Income_2014_1400000US06037463000,01/01/2014
Employment & Income,Income,Median Household Income,2014,50313,"Census Tract 7019.02, Los Angeles County, California",701902,Santa Monica,1400000US06037701902,"(34.01386615, -118.4928698)",Median_Household_Income_2014_1400000US06037701902,01/01/2014
Employment & Income,Income,Median Household Income,2011,67153,"Census Tract 4080.06, Los Angeles County, California",408006,West Covina,1400000US06037408006,"(34.034816, -117.9018715)",Median_Household_Income_2011_1400000US06037408006,01/01/2011
Employment & Income,Income,Median Household Income,2011,30893,"Census Tract 2396.01, Los Angeles County, California",239601,Florence,1400000US06037239601,"(33.972754, -118.2751255)",Median_Household_Income_2011_1400000US06037239601,01/01/2011
Employment & Income,Income,Median Household Income,2012,124327,"Census Tract 1416, Los Angeles County, California",141600,Sherman Oaks,1400000US06037141600,"(34.1376705, -118.459396)",Median_Household_Income_2012_1400000US06037141600,01/01/2012
Employment & Income,Income,Median Household Income,2015,32679,"Census Tract 2122.02, Los Angeles County, California",212202,Westlake,1400000US06037212202,"(34.056368, -118.2879195)",Median_Household_Income_2015_1400000US06037212202,01/01/2015
Employment & Income,Income,Median Household Income,2012,60625,"Census Tract 2697, Los Angeles County, California",269700,Mid-City,1400000US06037269700,"(34.036058, -118.3859215)",Median_Household_Income_2012_1400000US06037269700,01/01/2012
Employment & Income,Income,Median Household Income,2014,103500,"Census Tract 1112.06, Los Angeles County, California",111206,Porter Ranch,1400000US06037111206,"(34.2676425, -118.5361955)",Median_Household_Income_2014_1400000US06037111206,01/01/2014
Employment & Income,Income,Median Household Income,2016,30337,"Census Tract 4339.01, Los Angeles County, California",433901,El Monte,1400000US06037433901,"(34.058593, -118.019927)",Median_Household_Income_2016_1400000US06037433901,01/01/2016
Employment & Income,Income,Median Household Income,2016,34875,"Census Tract 5733, Los Angeles County, California",573300,Long Beach,1400000US06037573300,"(33.7948965, -118.1741585)",Median_Household_Income_2016_1400000US06037573300,01/01/2016
Employment & Income,Income,Median Household Income,2011,45344,"Census Tract 2185, Los Angeles County, California",218500,Mid-City,1400000US06037218500,"(34.0375635, -118.3505565)",Median_Household_Income_2011_1400000US06037218500,01/01/2011
Employment & Income,Income,Median Household Income,2011,33555,"Census Tract 4333.05, Los Angeles County, California",433305,El Monte,1400000US06037433305,"(34.0700755, -118.0125525)",Median_Household_Income_2011_1400000US06037433305,01/01/2011
Employment & Income,Income,Median Household Income,2012,97957,"Census Tract 1081.02, Los Angeles County, California",108102,Porter Ranch,1400000US06037108102,"(34.280795, -118.55492)",Median_Household_Income_2012_1400000US06037108102,01/01/2012
Employment & Income,Income,Median Household Income,2011,26521,"Census Tract 2094.01, Los Angeles County, California",209401,Westlake,1400000US06037209401,"(34.0568345, -118.2810775)",Median_Household_Income_2011_1400000US06037209401,01/01/2011
Employment & Income,Income,Median Household Income,2015,61714,"Census Tract 1394.01, Los Angeles County, California",139401,Tarzana,1400000US06037139401,"(34.169524, -118.5377675)",Median_Household_Income_2015_1400000US06037139401,01/01/2015
Employment & Income,Income,Median Household Income,2013,34493,"Census Tract 5341.02, Los Angeles County, California",534102,Bell Gardens,1400000US06037534102,"(33.9705995, -118.161146)",Median_Household_Income_2013_1400000US06037534102,01/01/2013
Employment & Income,Income,Median Household Income,2014,34261,"Census Tract 1201.04, Los Angeles County, California",120104,Panorama City,1400000US06037120104,"(34.224796, -118.4484845)",Median_Household_Income_2014_1400000US06037120104,01/01/2014
Employment & Income,Income,Median Household Income,2016,44731,"Census Tract 6021.04, Los Angeles County, California",602104,Hawthorne,1400000US06037602104,"(33.928417, -118.348165)",Median_Household_Income_2016_1400000US06037602104,01/01/2016
Employment & Income,Income,Median Household Income,2010,73697,"Census Tract 1173.02, Los Angeles County, California",117302,Northridge,1400000US06037117302,"(34.235472, -118.49709)",Median_Household_Income_2010_1400000US06037117302,01/01/2010
Employment & Income,Income,Median Household Income,2011,61506,"Census Tract 5705.01, Los Angeles County, California",570501,Long Beach,1400000US06037570501,"(33.8682535, -118.1795615)",Median_Household_Income_2011_1400000US06037570501,01/01/2011
Employment & Income,Income,Median Household Income,2016,51190,"Census Tract 1061.14, Los Angeles County, California",106114,Sylmar,1400000US06037106114,"(34.302675, -118.426951)",Median_Household_Income_2016_1400000US06037106114,01/01/2016
Employment & Income,Income,Median Household Income,2012,39476,"Census Tract 5320.01, Los Angeles County, California",532001,Montebello,1400000US06037532001,"(34.0054385, -118.1232295)",Median_Household_Income_2012_1400000US06037532001,01/01/2012
Employment & Income,Income,Median Household Income,2015,25129,"Census Tract 2282.10, Los Angeles County, California",228210,Central-Alameda,1400000US06037228210,"(34.010168, -118.2525945)",Median_Household_Income_2015_1400000US06037228210,01/01/2015
Employment & Income,Income,Median Household Income,2015,81603,"Census Tract 2732, Los Angeles County, California",273200,Venice,1400000US06037273200,"(33.99686, -118.4672375)",Median_Household_Income_2015_1400000US06037273200,01/01/2015
Employment & Income,Income,Median Household Income,2011,29385,"Census Tract 2405, Los Angeles County, California",240500,Broadway-Manchester,1400000US06037240500,"(33.9469185, -118.275892)",Median_Household_Income_2011_1400000US06037240500,01/01/2011
Employment & Income,Income,Median Household Income,2016,34911,"Census Tract 5552.11, Los Angeles County, California",555211,Hawaiian Gardens,1400000US06037555211,"(33.8272315, -118.077266)",Median_Household_Income_2016_1400000US06037555211,01/01/2016
Employment & Income,Income,Median Household Income,2014,38674,"Census Tract 4620.02, Los Angeles County, California",462002,Pasadena,1400000US06037462002,"(34.163333, -118.148361)",Median_Household_Income_2014_1400000US06037462002,01/01/2014
Employment & Income,Income,Median Household Income,2010,44926,"Census Tract 5706.01, Los Angeles County, California",570601,Long Beach,1400000US06037570601,"(33.8563635, -118.1810925)",Median_Household_Income_2010_1400000US06037570601,01/01/2010
Employment & Income,Income,Median Household Income,2015,34146,"Census Tract 2125.01, Los Angeles County, California",212501,Koreatown,1400000US06037212501,"(34.0560675, -118.305364)",Median_Household_Income_2015_1400000US06037212501,01/01/2015
Employment & Income,Income,Median Household Income,2013,27837,"Census Tract 1277.12, Los Angeles County, California",127712,Van Nuys,1400000US06037127712,"(34.197487, -118.4701995)",Median_Household_Income_2013_1400000US06037127712,01/01/2013
Employment & Income,Income,Median Household Income,2010,43654,"Census Tract 1913.01, Los Angeles County, California",191301,East Hollywood,1400000US06037191301,"(34.092753, -118.286057)",Median_Household_Income_2010_1400000US06037191301,01/01/2010
Employment & Income,Income,Median Household Income,2010,79890,"Census Tract 1412.02, Los Angeles County, California",141202,Sherman Oaks,1400000US06037141202,"(34.1470205, -118.4426355)",Median_Household_Income_2010_1400000US06037141202,01/01/2010
Employment & Income,Income,Median Household Income,2013,37530,"Census Tract 4332, Los Angeles County, California",433200,El Monte,1400000US06037433200,"(34.0683885, -118.035671)",Median_Household_Income_2013_1400000US06037433200,01/01/2013
Employment & Income,Income,Median Household Income,2015,89583,"Census Tract 2147, Los Angeles County, California",214700,Beverly Grove,1400000US06037214700,"(34.0665205, -118.366383)",Median_Household_Income_2015_1400000US06037214700,01/01/2015
Employment & Income,Income,Median Household Income,2016,193877,"Census Tract 2622, Los Angeles County, California",262200,Bel-Air,1400000US06037262200,"(34.1015635, -118.468744)",Median_Household_Income_2016_1400000US06037262200,01/01/2016
Employment & Income,Income,Median Household Income,2010,56783,"Census Tract 4081.37, Los Angeles County, California",408137,South San Jose Hills,1400000US06037408137,"(34.009108, -117.883356)",Median_Household_Income_2010_1400000US06037408137,01/01/2010
Employment & Income,Income,Median Household Income,2010,37401,"Census Tract 2118.04, Los Angeles County, California",211804,Koreatown,1400000US06037211804,"(34.0671615, -118.3066105)",Median_Household_Income_2010_1400000US06037211804,01/01/2010
Employment & Income,Income,Median Household Income,2012,38972,"Census Tract 4335.04, Los Angeles County, California",433504,South El Monte,1400000US06037433504,"(34.0572675, -118.0534915)",Median_Household_Income_2012_1400000US06037433504,01/01/2012
Employment & Income,Income,Median Household Income,2013,56000,"Census Tract 4636.02, Los Angeles County, California",463602,Pasadena,1400000US06037463602,"(34.1408065, -118.1458915)",Median_Household_Income_2013_1400000US06037463602,01/01/2013
Employment & Income,Income,Median Household Income,2010,54375,"Census Tract 7002, Los Angeles County, California",700200,West Hollywood,1400000US06037700200,"(34.0924555, -118.365232)",Median_Household_Income_2010_1400000US06037700200,01/01/2010
Employment & Income,Income,Median Household Income,2012,26663,"Census Tract 2317.10, Los Angeles County, California",231710,Vermont Square,1400000US06037231710,"(34.007373, -118.2893345)",Median_Household_Income_2012_1400000US06037231710,01/01/2012
Employment & Income,Income,Median Household Income,2014,48950,"Census Tract 3025.06, Los Angeles County, California",302506,Glendale,1400000US06037302506,"(34.1289675, -118.246127)",Median_Household_Income_2014_1400000US06037302506,01/01/2014
Employment & Income,Income,Median Household Income,2011,71875,"Census Tract 1097, Los Angeles County, California",109700,Granada Hills,1400000US06037109700,"(34.263394, -118.4810215)",Median_Household_Income_2011_1400000US06037109700,01/01/2011
Employment & Income,Income,Median Household Income,2014,37433,"Census Tract 2430, Los Angeles County, California",243000,Watts,1400000US06037243000,"(33.938704, -118.2338885)",Median_Household_Income_2014_1400000US06037243000,01/01/2014
Employment & Income,Income,Median Household Income,2015,49974,"Census Tract 4047.01, Los Angeles County, California",404701,Baldwin Park,1400000US06037404701,"(34.07202, -117.996061)",Median_Household_Income_2015_1400000US06037404701,01/01/2015
Employment & Income,Income,Median Household Income,2016,96348,"Census Tract 1374.02, Los Angeles County, California",137402,Woodland Hills,1400000US06037137402,"(34.156668, -118.626367)",Median_Household_Income_2016_1400000US06037137402,01/01/2016
Employment & Income,Income,Median Household Income,2013,32480,"Census Tract 2932.02, Los Angeles County, California",293202,Harbor Gateway,1400000US06037293202,"(33.8194175, -118.303755)",Median_Household_Income_2013_1400000US06037293202,01/01/2013
Employment & Income,Income,Median Household Income,2016,32195,"Census Tract 1218.01, Los Angeles County, California",121801,Sun Valley,1400000US06037121801,"(34.21209, -118.3921495)",Median_Household_Income_2016_1400000US06037121801,01/01/2016
Employment & Income,Income,Median Household Income,2010,67268,"Census Tract 6500.04, Los Angeles County, California",650004,Torrance,1400000US06037650004,"(33.8778065, -118.3307945)",Median_Household_Income_2010_1400000US06037650004,01/01/2010
Employment & Income,Income,Median Household Income,2010,184904,"Census Tract 4608, Los Angeles County, California",460800,Pasadena,1400000US06037460800,"(34.163146, -118.1778035)",Median_Household_Income_2010_1400000US06037460800,01/01/2010
